,"([14, [False, True, True, False, True, False], 8, 4, 79, 'Communication'], [0.40218106180709956, 0.19108385853440932, 0.11857953858566593, 0.20106289006644876, 0.02568880196138132, 0.061403849044995185])","([14, [True, False, True, False, True, False], 7, 5, 100, 'STEM'], [0.301285223008605, 0.13216661678956582, 0.09881689081057349, 0.20097330207437347, 0.1411382041237262, 0.12561976319315607])","([17, [True, False, False, True, True, False], 7, 2, 91, 'Fashion'], [0.2155986709974427, 0.163819826797813, 0.1622896087884433, 0.15414254877392122, 0.22490495670784347, 0.0792443879345363])","([24, [True, True, False, False, True, False], 6, 2, 0, 'Finance'], [0.18709518759980073, 0.13866772567134375, 0.1352978894863004, 0.19658739453712074, 0.21999918682884068, 0.12235261587659373])","([18, [True, False, False, True, True, False], 1, 2, 65, 'Education'], [0.26643865156992075, 0.07995603313049815, 0.2123050305557533, 0.13838053807587378, 0.2050223292768766, 0.09789741739107745])","([18, [False, False, True, True, True, False], 1, 5, 8, 'STEM'], [0.16854548415376167, 0.14022249573973652, 0.32405887462221233, 0.13754056750740662, 0.1762057408925498, 0.053426837084333066])","([12, [True, False, False, False, True, True], 3, 1, 31, 'Finance'], [0.2192084786936186, 0.12335430378264878, 0.0535692522509579, 0.056045793651109226, 0.3858518472112322, 0.16197032441043333])","([10, [False, False, True, False, True, True], 8, 2, 21, 'STEM'], [0.1058113756933569, 0.16015717867516258, 0.3331302718708457, 0.04078034236007203, 0.25592947977242325, 0.10419135162813942])","([14, [False, True, False, True, True, False], 8, 2, 96, 'Fashion'], [0.17280821451405193, 0.17045886679244168, 0.19295774032722468, 0.27012644859043244, 0.09820256799001748, 0.09544616178583183])","([12, [False, False, True, True, True, False], 4, 4, 91, 'Education'], [0.1665635962983683, 0.2605884251504636, 0.06792720345236986, 0.14605883620247684, 0.18016630097307892, 0.1786956379232425])"
Group Leader for Arts & Education 0,0.023472593634837974,-0.05479720238476696,-0.34417106142232406,-9.99907018035302,1.983429857110278,1.443495993483451,-0.28802861007197933,-0.35975298868428773,-0.46884114993891124,-0.18478260960616144
Peer Bridger 1,-0.23646667123375106,-0.3311770441975338,-0.3749327968742313,-10.494567596339978,0.7627280664698789,-0.3160373156233117,-0.35928282003886636,-0.5683147944100866,-0.41202464613536854,-0.13918391730032637
Contributing News/Interview Writer 2,0.020699417981333623,-0.17882562132882895,-0.5119951207338834,-4.362355147302916,0.5639275402356888,0.4266191748389332,-0.37533220610710705,-0.2318598309739232,-0.5611767734241714,-0.19391322969319374
"Program/Student Advisor - TRIO Upward Bound
 3",-0.36165021588296586,-0.41919659638566054,-0.45984248129147215,-10.581201733887191,0.9652724030010272,-0.29118853076904794,-0.45807581168403777,-0.6417209089755078,-0.4286485470218088,-0.2081381187020424
Childcare Entry-Level Assistant Teacher 4,-0.3448570538141114,-0.42147900923194304,-0.3555879634531383,-12.926452152629281,0.669976080676847,-0.03859302655936738,-0.6099050898129359,-0.7262770520329276,-0.30499991836456847,-0.27612780515270485
"CHILD & YOUTH PROGRAM ASSISTANT (CHILD DEVELOPMENT CENTER)
 5",-0.41536348694004155,-0.45933113228794475,-0.4711618418903303,-10.585888011199199,0.9256136474226729,-0.20427220685020578,-0.4828866349688393,-0.6419197913462846,-0.45954540051307996,-0.2259454647521593
"Warehouse Associate
 6",-0.3369627046737871,-0.43777218834622067,-0.5958188418334015,-3.853749261991133,0.6615191202000608,0.47008708372870067,-0.2091112485615858,-0.29085940886455,-0.5288830621322189,-0.5557009931534326
Preschool Teacher Assistant 7,-0.26339913907906687,-0.3634010059410517,-0.31700293818012526,-10.529059523991728,0.8324324517527009,1.1223620918914106,-0.33821323993793084,-0.3954499294394728,-0.3995938019404182,-0.12587335560276053
Group Leader for NYC Mission Society 8,-0.12175656232498455,-0.25260889595531566,-0.31341450828243367,-8.963978692361593,1.3782175370134868,2.12832758401207,-0.23897123325870467,-0.20667931675816104,-0.44322133917543904,-0.1900533807040194
Booth Cashier 9,0.00616728722907646,-0.1347641536457274,-0.14130481391383376,-11.105638893952587,2.2574981197696165,1.5430062182907807,-0.14294222588454245,-0.2697201506897634,-0.037854324380009206,-0.20807042428345773
Math Tutor 10,-0.2992249709066798,-0.26470607079808217,-0.6154382862268534,-3.6428412062384306,0.7660962954866758,2.2120620243399376,-0.5420566973389332,-0.16842129496479896,-0.6807859995600954,-0.4383371647131206
Infant Teacher Baby Snuggler Difference Make 11,-0.33329290973730114,-0.40143850497893985,-0.35651276369861745,-12.915551918785095,0.8105348694961355,-0.2402070871395964,-0.6077139782924259,-0.7395612719906584,-0.29218562620687333,-0.2743297446082839
TLC Social Media & Content Intern 12,-0.6402520589675762,-0.7328905301572934,-0.7626741870366481,-2.9171858133966224,0.3522122807357692,0.2665192272853749,-0.7621593605090358,-0.6486782673149275,-0.6448028206124082,-0.7869350642599492
Arts Criticism Intern 13,-0.6579444101242488,-0.5966519491944042,-0.649997363611554,-10.198350539639433,0.4784442813389643,-0.3346529109913029,-0.692544269861087,-0.7732389819407981,-0.6690841598563874,-0.5884358951178481
Operations 14,0.06644968984999951,-0.11555912410935519,-0.2211089168186866,-8.144259626065274,1.5382871604819577,1.545805377505833,0.16146776918863656,-0.1978524629045219,-0.24911389495461256,-0.3533630727210124
