Job,Hourly Wage,Holland Code (JOB),Field of Work (Preferred HC for company),Subject OF JOB,Working Hours ,Difficulty (Random num),Travel time (Random num),,Subjects of job
EXAMPLE JOB,10,R I S,STEM,Biology,4,3,0.538,,ART
Group Leader for Arts & Education,20,"A,S",Art,Art,3,,,,LITERATURE
Peer Bridger,19.23,"S,A,C",Education,Education,8,,0,,EDUCATION
Contributing News/Interview Writer,20,"I, A",Journalism and Mass Communication,Literature,8,,,,ACTIVISM
"Program/Student Advisor - TRIO Upward Bound
",14,"S,A,C",Elementory Education,Education,8,,,,SERVICE
Childcare Entry-Level Assistant Teacher,12.5,"S,A",Early Childhood Eudcation,Education,8,,,,COMMUNICATION
"CHILD & YOUTH PROGRAM ASSISTANT (CHILD DEVELOPMENT CENTER)
",12.21,"S,A,C",Elementory Education,Education,8,,,,FASHION
"Warehouse Associate
",15,"E,C",Accounting,FINANCE,8,,,,STEM
Preschool Teacher Assistant,17,"S,A",Early Childhood Education,Education,6,,,,FINANCE
Group Leader for NYC Mission Society,16.5,"S,I,A",social work,Activism,3,,,,
Booth Cashier,22,"S,A,E",Communication,Service,2,,,,
Math Tutor,13,"S,I,A",Math Education,STEM,5,,,,
Infant Teacher Baby Snuggler Difference Make,13,"S,A",Early Childhood Education,,8,,,,"* Assumptions, no benefits for high school students"
TLC Social Media & Content Intern,0,"A,E,I",Electronic Media,Communication,8,,,,
Arts Criticism Intern,0,"S,A",Art,Art,8,,,,
Operations,27.5,"S,A,E",Communication,Communication,4,,0,,
Minecraft Instructor,18,"I,R,C",Computer Science,STEM,6,,0,,
Santa Photo Helper,14.25,"A,R,S",Photography,Service,8,,,,
Park Ranger,11.95,"E,R,A",Park Superintendent,STEM,8,,,,
After-School Juior Group Leader,16,"S,I,A",Education,Education,8,,,,
Camp Counselor,14,"S,A,C",Elementary Education,Education,8,,,,
"Temporary Scan Verification Associate
",13.5,"C, E",Accounting,Finance,8,,,,
Direct support professional internship,15,"S,I,A",Education,Service,8,,,,
Valet Parking Attendant,16,"S,I,A",Service,Service,10,,,,
Teacher's Assistant,12.5,"S,A,C",Elementary Education,Education,4,,,,
"Kumon Instructor Assistant, Teacher, Tutor",15.5,"S,A,C",Elementary Education,Education,8,,,,
Bakery Team Member,14.5,R,Cook,Service,5,,,,
House Cleaner / Trainer,13,"S,I,A",Service,Service,8,,,,
Resturant Team Member,14.38,"S,I,A",Service,Service,8,,,,
Seasonal Bell Ringer,15.5,S,Service,Service,8,,,,
Wait Staff,20,"S,I,A",Service,Service,10,,,,
THEO PEER,15,"S,I,A",Psychologist Advocate,STEM,3,,,,
Party Hostess/Assistant,9,"S,A",Event Planning,Service,8,,,,
Birthday Party Host,13,"S,A",Event Planning,Service,10,,,,
